#,japanese,pronounciation,translation
799,若者,わかもの,"young person, youth"
800,雪,ゆき,"snow, snowfall"
801,うまい,うまい,"sweet, delicious"
802,思い出す,おもいだす,"recollect, recall"
803,聞こえる,きこえる,"hear, be heard"
804,借りる,かりる,borrow
805,返す,かえす,"return, repay"
806,受け取る,うけとる,"receive, get"
807,捨てる,すてる,"discard, abandon"
808,一緒,い,"together, same (colloquial)"
809,遊び,あそび,"play, amusement"
810,移す,うつす,"move, transfer"
811,大きさ,おおきさ,"size, dimension"
812,考え,か,"thought, idea"
813,空港,くうこう,airport (for public transportation)
814,出発,しゅっぱつ,"departure, starting"
815,地図,ちず,"map, atlas"
816,運転,う,drive
817,降りる,おりる,"get off, land"
818,ガス,がす,gas (loan word)
819,必ず,かならず,"without exception, always"
820,カメラ,かめら,camera
821,通う,かよう,"go to and from, frequent a place"
822,急に,きゅうに,"suddenly, unexpectedly"
823,サラリーマン,さらり,"office worker, company employee"
824,給料,きゅうりょう,"salary, pay"
825,曲,きょく,piece of music
826,切れる,きれる,"cut well, be sharp"
827,正しい,ただしい,"correct, righteous"
